Daily Returns & Portfolio Return,,,,,,,
Daily return = Current Price / Previous Price − 1. Portfolio return = weighted sum of stock returns.,,,,,,,
,,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,Portfolio Return,NIFTY 50
27-Sep-2024,1.88%,(1.73%),0.38%,(1.69%),0.34%,(0.09%),(0.14%)
30-Sep-2024,(3.25%),(1.18%),(0.93%),(2.57%),(1.63%),(1.92%),(1.41%)
01-Oct-2024,(0.80%),(0.34%),0.45%,0.11%,1.53%,0.05%,(0.05%)
03-Oct-2024,(3.95%),(2.56%),(1.29%),(1.42%),(0.57%),(2.18%),(2.12%)
04-Oct-2024,(1.45%),(1.45%),0.46%,(1.32%),1.31%,(0.64%),(0.93%)
07-Oct-2024,(1.14%),(2.40%),0.48%,(0.47%),0.84%,(0.73%),(0.87%)
08-Oct-2024,1.94%,2.06%,(0.46%),0.22%,0.74%,1.05%,0.88%
09-Oct-2024,(1.63%),(1.08%),(0.01%),0.61%,0.22%,(0.56%),(0.12%)
10-Oct-2024,(0.26%),1.79%,(0.60%),(0.05%),(1.73%),(0.00%),0.07%
11-Oct-2024,0.08%,(0.69%),(1.85%),(1.65%),0.84%,(0.64%),(0.14%)
14-Oct-2024,0.03%,2.25%,(0.30%),0.72%,1.23%,0.80%,0.66%
15-Oct-2024,(2.08%),(0.24%),(0.48%),1.93%,0.02%,(0.38%),(0.28%)
16-Oct-2024,0.75%,0.93%,(0.53%),(0.98%),(2.00%),(0.13%),(0.34%)
17-Oct-2024,0.17%,(1.57%),0.34%,(0.96%),2.50%,(0.05%),(0.89%)
18-Oct-2024,0.21%,0.52%,0.59%,2.70%,(4.50%),0.03%,0.42%
21-Oct-2024,0.73%,2.79%,(1.05%),(0.43%),(1.43%),0.39%,(0.29%)
22-Oct-2024,(1.89%),(0.82%),(1.58%),0.67%,(0.06%),(0.90%),(1.25%)
23-Oct-2024,(0.36%),1.24%,1.26%,(1.25%),1.18%,0.46%,(0.15%)
24-Oct-2024,0.10%,0.80%,(0.45%),0.09%,(0.54%),0.07%,(0.15%)
25-Oct-2024,(0.89%),(0.36%),0.24%,0.22%,(0.07%),(0.24%),(0.90%)
28-Oct-2024,0.49%,(0.53%),0.82%,2.98%,0.18%,0.63%,0.65%
29-Oct-2024,0.42%,1.02%,(0.38%),3.02%,(0.27%),0.70%,0.52%
30-Oct-2024,0.29%,(0.98%),0.23%,(1.48%),(2.02%),(0.65%),(0.51%)
31-Oct-2024,(0.88%),0.06%,(2.84%),(1.52%),(2.49%),(1.37%),(0.56%)
01-Nov-2024,0.50%,0.09%,0.40%,(0.03%),0.20%,0.25%,0.41%
