Daily Returns & Portfolio Return,,,,,,,
Daily return = Current Price / Previous Price − 1. Portfolio return = weighted sum of stock returns.,,,,,,,
,,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,Portfolio Return,NIFTY 50
24-May-2023,(0.58%),(1.31%),0.19%,(1.34%),(0.11%),(0.65%),(0.34%)
25-May-2023,(0.01%),(0.38%),(0.30%),(0.09%),0.44%,(0.11%),0.20%
26-May-2023,2.73%,0.39%,1.07%,1.15%,1.00%,1.32%,0.97%
29-May-2023,0.56%,1.22%,(0.26%),(0.27%),(0.23%),0.32%,0.54%
30-May-2023,(0.03%),0.08%,(0.12%),0.19%,0.72%,0.12%,0.19%
31-May-2023,(1.99%),(1.58%),(0.81%),(0.08%),(0.42%),(1.13%),(0.53%)
01-Jun-2023,(0.27%),(0.43%),1.05%,(1.37%),0.09%,(0.16%),(0.25%)
02-Jun-2023,(0.33%),0.16%,(0.55%),0.22%,(0.23%),(0.16%),0.25%
05-Jun-2023,0.90%,(0.13%),(0.51%),0.92%,0.42%,0.29%,0.32%
06-Jun-2023,0.08%,(0.31%),(1.72%),(0.49%),(1.95%),(0.77%),0.03%
07-Jun-2023,0.76%,0.52%,1.32%,(0.20%),0.78%,0.67%,0.68%
08-Jun-2023,0.06%,0.06%,(1.17%),(0.24%),(0.48%),(0.31%),(0.49%)
09-Jun-2023,(0.71%),0.12%,(0.84%),0.02%,(1.31%),(0.51%),(0.38%)
12-Jun-2023,0.09%,(0.61%),1.17%,(0.22%),2.05%,0.38%,0.21%
13-Jun-2023,1.48%,0.17%,(0.10%),0.81%,1.00%,0.66%,0.62%
14-Jun-2023,1.23%,(0.11%),0.23%,(0.40%),(0.34%),0.21%,0.21%
15-Jun-2023,0.03%,(1.23%),(0.33%),(1.40%),(1.05%),(0.73%),(0.36%)
16-Jun-2023,0.97%,1.31%,(1.29%),0.82%,0.38%,0.49%,0.74%
19-Jun-2023,(0.99%),0.09%,1.12%,(1.18%),0.18%,(0.15%),(0.37%)
20-Jun-2023,0.21%,0.21%,0.54%,0.26%,0.73%,0.36%,0.33%
21-Jun-2023,0.28%,1.75%,0.94%,(0.09%),(0.31%),0.64%,0.21%
22-Jun-2023,(1.12%),0.49%,(0.60%),0.11%,(1.37%),(0.47%),(0.45%)
23-Jun-2023,(0.82%),(0.01%),(0.68%),(0.24%),(1.29%),(0.57%),(0.56%)
26-Jun-2023,(0.76%),(0.48%),(0.83%),0.43%,0.42%,(0.35%),0.14%
27-Jun-2023,0.04%,1.41%,0.24%,0.93%,0.69%,0.65%,0.68%
28-Jun-2023,1.32%,1.06%,0.57%,0.14%,1.11%,0.90%,0.82%
30-Jun-2023,0.82%,1.51%,2.70%,(0.30%),3.26%,1.56%,1.14%
03-Jul-2023,2.57%,1.08%,(0.91%),0.85%,(0.13%),0.84%,0.70%
04-Jul-2023,(1.03%),0.49%,1.12%,0.23%,0.86%,0.25%,0.34%
05-Jul-2023,(0.16%),(3.18%),0.34%,1.41%,0.16%,(0.53%),0.05%
06-Jul-2023,2.10%,0.10%,0.09%,0.15%,(0.25%),0.55%,0.51%
07-Jul-2023,(0.20%),(0.87%),0.19%,(1.36%),(1.02%),(0.58%),(0.85%)
10-Jul-2023,3.85%,(0.24%),(1.72%),0.21%,(0.08%),0.58%,0.12%
11-Jul-2023,1.08%,(0.49%),0.01%,(0.36%),1.46%,0.32%,0.43%
12-Jul-2023,0.11%,(0.94%),(0.38%),(0.06%),(1.13%),(0.46%),(0.28%)
13-Jul-2023,(0.89%),0.50%,2.47%,1.20%,2.39%,0.93%,0.15%
14-Jul-2023,(0.08%),0.21%,5.21%,0.46%,4.46%,1.81%,0.78%
17-Jul-2023,2.04%,2.09%,(0.65%),0.90%,(0.21%),1.01%,0.75%
18-Jul-2023,0.85%,(0.08%),0.15%,0.70%,3.67%,0.88%,0.19%
19-Jul-2023,0.76%,0.45%,(0.77%),(0.21%),(0.02%),0.12%,0.42%
20-Jul-2023,(0.12%),0.22%,0.07%,2.28%,(1.73%),0.12%,0.74%
21-Jul-2023,(3.10%),(0.77%),(2.74%),0.14%,(8.13%),(2.71%),(1.17%)
24-Jul-2023,(2.02%),0.16%,0.79%,(0.50%),0.38%,(0.33%),(0.37%)
25-Jul-2023,(0.06%),1.08%,0.13%,0.27%,(0.15%),0.30%,0.04%
26-Jul-2023,1.63%,(0.35%),(0.32%),0.18%,1.07%,0.44%,0.50%
27-Jul-2023,(0.93%),(1.04%),0.25%,(0.62%),0.32%,(0.49%),(0.60%)
28-Jul-2023,1.00%,(1.77%),(1.22%),0.60%,(0.93%),(0.49%),(0.07%)
31-Jul-2023,0.85%,0.47%,1.97%,0.21%,1.13%,0.92%,0.55%
01-Aug-2023,(1.41%),0.67%,0.89%,(0.38%),0.70%,0.04%,(0.10%)
02-Aug-2023,(1.07%),(1.31%),(0.33%),(0.76%),(0.61%),(0.87%),(1.05%)
03-Aug-2023,(0.42%),(0.72%),(1.18%),(2.22%),0.55%,(0.77%),(0.74%)
04-Aug-2023,1.36%,1.45%,1.28%,0.57%,1.03%,1.20%,0.70%
07-Aug-2023,0.57%,(0.06%),1.18%,0.53%,1.06%,0.60%,0.41%
08-Aug-2023,(0.60%),(0.08%),(0.39%),0.44%,(0.20%),(0.21%),(0.13%)
09-Aug-2023,0.66%,0.04%,(0.23%),0.08%,0.30%,0.19%,0.32%
10-Aug-2023,0.45%,(0.89%),(0.59%),(0.88%),(0.38%),(0.42%),(0.46%)
11-Aug-2023,0.42%,(1.04%),0.19%,(1.17%),(1.24%),(0.48%),(0.59%)
14-Aug-2023,1.18%,(0.49%),0.03%,0.70%,1.58%,0.52%,0.03%
16-Aug-2023,(0.08%),(0.29%),0.25%,(0.32%),1.79%,0.18%,0.16%
17-Aug-2023,(1.44%),(0.55%),(0.65%),(0.51%),(0.49%),(0.78%),(0.51%)
18-Aug-2023,0.74%,(0.41%),(2.00%),(0.11%),(1.61%),(0.57%),(0.28%)
21-Aug-2023,(1.09%),(0.08%),1.03%,0.48%,1.20%,0.16%,0.43%
22-Aug-2023,(0.02%),(0.43%),(0.57%),(0.34%),(0.12%),(0.30%),0.01%
23-Aug-2023,0.11%,0.25%,0.48%,1.56%,0.30%,0.46%,0.25%
24-Aug-2023,(1.68%),(0.46%),(0.31%),0.22%,1.11%,(0.40%),(0.29%)
25-Aug-2023,(0.46%),(1.13%),(0.19%),0.15%,(0.25%),(0.45%),(0.62%)
28-Aug-2023,(1.00%),1.04%,(0.17%),0.02%,(0.31%),(0.07%),0.21%
29-Aug-2023,(0.96%),0.80%,0.02%,(0.29%),0.14%,(0.06%),0.19%
30-Aug-2023,(0.10%),(0.73%),0.44%,(0.91%),1.23%,(0.07%),0.02%
31-Aug-2023,(0.46%),(0.46%),(1.01%),(0.02%),0.02%,(0.43%),(0.48%)
01-Sep-2023,0.23%,0.21%,0.67%,1.04%,0.59%,0.49%,0.94%
04-Sep-2023,(0.08%),0.63%,1.16%,(0.14%),1.47%,0.57%,0.48%
05-Sep-2023,0.54%,(0.61%),0.32%,0.11%,0.94%,0.20%,0.24%
06-Sep-2023,0.21%,1.31%,0.02%,(1.13%),(0.10%),0.20%,0.18%
07-Sep-2023,0.14%,0.96%,0.74%,0.85%,(0.76%),0.44%,0.59%
08-Sep-2023,0.67%,0.78%,(0.39%),0.51%,0.23%,0.39%,0.47%
11-Sep-2023,1.08%,0.52%,1.13%,0.79%,0.47%,0.81%,0.89%
12-Sep-2023,(1.44%),0.31%,2.88%,1.25%,1.67%,0.73%,(0.02%)
13-Sep-2023,0.50%,0.43%,(0.36%),(0.07%),(0.18%),0.12%,0.38%
14-Sep-2023,0.09%,(0.06%),(0.22%),(0.21%),0.57%,0.02%,0.16%
15-Sep-2023,0.19%,1.15%,1.07%,0.48%,0.31%,0.67%,0.44%
18-Sep-2023,(0.87%),(1.97%),0.22%,(0.23%),(1.31%),(0.90%),(0.29%)
20-Sep-2023,(2.23%),(4.01%),(0.00%),(0.31%),(0.10%),(1.62%),(1.15%)
21-Sep-2023,(0.73%),(0.66%),(0.58%),(2.82%),0.77%,(0.77%),(0.80%)
22-Sep-2023,(0.42%),(1.53%),0.51%,(0.94%),(0.37%),(0.58%),(0.34%)
25-Sep-2023,(0.62%),0.09%,(0.74%),0.64%,(1.47%),(0.40%),0.00%
26-Sep-2023,0.09%,0.43%,0.24%,(0.80%),(0.92%),(0.08%),(0.05%)
27-Sep-2023,1.13%,(0.70%),0.10%,(0.59%),0.43%,0.10%,0.26%
28-Sep-2023,(1.47%),(0.21%),(1.46%),(0.05%),(1.88%),(1.00%),(0.98%)
29-Sep-2023,0.47%,0.17%,(0.23%),0.99%,(0.28%),0.22%,0.59%
03-Oct-2023,(1.14%),(1.20%),(0.42%),(1.22%),(0.10%),(0.87%),(0.56%)
04-Oct-2023,(0.17%),1.43%,0.68%,(1.09%),0.72%,0.39%,(0.47%)
05-Oct-2023,(0.00%),0.41%,1.46%,1.16%,1.32%,0.77%,0.56%
06-Oct-2023,0.17%,(0.11%),0.89%,0.46%,1.04%,0.42%,0.55%
09-Oct-2023,(0.85%),(1.16%),0.47%,(0.70%),(0.22%),(0.55%),(0.72%)
10-Oct-2023,0.44%,0.57%,(0.26%),1.34%,1.34%,0.60%,0.91%
11-Oct-2023,1.59%,0.97%,(0.52%),0.20%,(0.05%),0.56%,0.62%
12-Oct-2023,0.19%,0.67%,(1.87%),0.12%,(1.93%),(0.43%),(0.09%)
13-Oct-2023,(0.00%),(0.91%),0.80%,(0.31%),(2.34%),(0.47%),(0.22%)
16-Oct-2023,(0.22%),(0.40%),(1.31%),0.01%,0.21%,(0.39%),(0.10%)
17-Oct-2023,0.48%,0.76%,(0.48%),0.26%,0.58%,0.34%,0.40%
18-Oct-2023,(1.33%),(1.39%),(0.56%),(1.06%),(0.13%),(0.97%),(0.71%)
19-Oct-2023,(0.77%),(0.32%),(0.65%),(0.85%),(0.48%),(0.60%),(0.24%)
20-Oct-2023,(0.31%),0.52%,1.13%,(0.32%),(0.45%),0.16%,(0.42%)
23-Oct-2023,(1.56%),(1.10%),(2.42%),(0.30%),(1.30%),(1.39%),(1.34%)
25-Oct-2023,(0.23%),(0.63%),(0.59%),(1.49%),(1.48%),(0.78%),(0.83%)
26-Oct-2023,(1.39%),(2.21%),(1.57%),(0.81%),(0.77%),(1.45%),(1.39%)
27-Oct-2023,1.77%,0.39%,0.43%,0.45%,1.54%,0.92%,1.01%
30-Oct-2023,2.06%,1.09%,0.82%,1.33%,(0.24%),1.12%,0.49%
31-Oct-2023,(1.06%),(0.58%),(0.29%),(1.03%),(0.63%),(0.72%),(0.32%)
01-Nov-2023,0.42%,(0.14%),(1.13%),(0.14%),(1.04%),(0.33%),(0.47%)
02-Nov-2023,0.99%,0.15%,0.88%,0.65%,1.18%,0.74%,0.76%
03-Nov-2023,(0.02%),0.47%,(0.27%),1.51%,1.38%,0.49%,0.51%
06-Nov-2023,0.83%,0.72%,0.88%,1.25%,1.03%,0.91%,0.94%
07-Nov-2023,(0.65%),(0.49%),(0.29%),0.28%,0.07%,(0.29%),(0.03%)
08-Nov-2023,0.52%,0.29%,0.33%,(1.30%),(0.95%),(0.07%),0.19%
09-Nov-2023,(1.09%),(0.40%),(1.01%),0.17%,(1.16%),(0.72%),(0.25%)
10-Nov-2023,0.19%,0.39%,(0.42%),0.13%,(0.43%),0.02%,0.15%
13-Nov-2023,(0.01%),(0.18%),(0.06%),(0.44%),0.34%,(0.07%),0.09%
15-Nov-2023,1.81%,1.05%,2.18%,0.71%,2.69%,1.66%,1.19%
16-Nov-2023,0.18%,0.26%,2.75%,(0.54%),2.44%,0.94%,0.46%
17-Nov-2023,(0.22%),(0.22%),0.13%,(1.51%),(0.51%),(0.39%),(0.17%)
20-Nov-2023,(0.26%),0.01%,0.49%,(0.04%),(0.07%),0.02%,(0.19%)
21-Nov-2023,1.26%,0.85%,(0.27%),0.50%,0.17%,0.57%,0.45%
22-Nov-2023,0.39%,(0.36%),0.57%,(0.36%),1.31%,0.26%,0.14%
23-Nov-2023,0.31%,0.58%,(0.62%),0.03%,(0.59%),0.01%,(0.05%)
24-Nov-2023,(0.07%),0.71%,(1.46%),0.69%,(0.82%),(0.15%),(0.04%)
28-Nov-2023,0.02%,(0.23%),0.38%,(0.42%),0.37%,0.02%,0.48%
29-Nov-2023,0.26%,2.00%,1.26%,1.52%,1.17%,1.22%,1.04%
30-Nov-2023,(0.97%),(0.02%),(0.74%),(0.49%),(0.30%),(0.52%),0.18%
01-Dec-2023,0.71%,(0.22%),0.69%,1.26%,(0.20%),0.42%,0.67%
04-Dec-2023,1.08%,3.47%,0.02%,4.70%,0.83%,1.97%,2.07%
05-Dec-2023,0.73%,0.89%,0.55%,2.24%,(0.71%),0.74%,0.81%
06-Dec-2023,0.96%,0.25%,2.05%,(1.01%),1.40%,0.77%,0.40%
07-Dec-2023,(0.16%),0.16%,0.30%,(0.42%),(0.57%),(0.09%),(0.17%)
08-Dec-2023,(0.05%),1.40%,0.33%,1.19%,1.72%,0.84%,0.33%
11-Dec-2023,0.15%,(0.13%),0.45%,0.62%,(0.18%),0.16%,0.13%
12-Dec-2023,(1.44%),(0.99%),0.80%,(0.14%),(0.84%),(0.59%),(0.43%)
13-Dec-2023,0.41%,(0.23%),(2.14%),(0.18%),(1.83%),(0.68%),0.10%
14-Dec-2023,1.24%,1.18%,2.05%,1.95%,3.62%,1.85%,1.23%
15-Dec-2023,1.28%,0.39%,5.28%,0.36%,5.13%,2.30%,1.29%
18-Dec-2023,1.02%,(0.05%),(0.05%),(1.54%),(0.89%),(0.13%),(0.18%)
19-Dec-2023,1.47%,(0.17%),(1.11%),(0.59%),(0.39%),(0.04%),0.16%
20-Dec-2023,(1.21%),0.25%,(0.95%),(0.87%),(1.41%),(0.77%),(1.41%)
21-Dec-2023,1.40%,1.79%,0.20%,(0.22%),(0.03%),0.80%,0.50%
22-Dec-2023,0.10%,(0.94%),0.96%,(1.01%),1.75%,0.09%,0.44%
26-Dec-2023,0.51%,0.69%,(0.74%),0.08%,(1.21%),(0.02%),0.43%
27-Dec-2023,0.34%,1.24%,0.41%,0.72%,1.50%,0.81%,1.00%
28-Dec-2023,0.72%,0.11%,(0.30%),0.36%,(0.28%),0.16%,0.57%
29-Dec-2023,(0.79%),0.23%,(0.17%),(0.92%),(1.26%),(0.50%),(0.22%)
01-Jan-2024,0.21%,(0.65%),0.47%,0.28%,0.55%,0.11%,0.05%
02-Jan-2024,0.83%,0.06%,(0.73%),(1.72%),(1.09%),(0.35%),(0.35%)
03-Jan-2024,(1.09%),(1.54%),(2.42%),0.18%,(2.89%),(1.55%),(0.69%)
04-Jan-2024,0.52%,1.07%,(0.68%),0.32%,1.52%,0.54%,0.66%
05-Jan-2024,0.43%,(0.51%),1.94%,0.66%,1.31%,0.66%,0.24%
08-Jan-2024,(0.78%),(1.11%),(1.59%),(1.18%),(0.64%),(1.06%),(0.91%)
09-Jan-2024,(0.26%),(0.78%),0.32%,(0.23%),0.43%,(0.17%),0.15%
10-Jan-2024,2.70%,0.33%,0.63%,1.36%,(0.61%),0.99%,0.34%
11-Jan-2024,2.63%,(0.42%),0.61%,(0.19%),(1.69%),0.39%,0.13%
12-Jan-2024,0.80%,(0.47%),3.94%,1.25%,7.93%,2.25%,1.14%
15-Jan-2024,1.71%,1.93%,0.54%,0.63%,2.44%,1.48%,0.93%
16-Jan-2024,(1.40%),0.38%,(1.09%),(0.08%),(1.24%),(0.67%),(0.29%)
17-Jan-2024,(0.95%),(8.44%),0.60%,(2.71%),0.53%,(2.55%),(2.09%)
18-Jan-2024,0.47%,(3.34%),0.46%,0.47%,0.15%,(0.53%),(0.51%)
19-Jan-2024,(0.04%),(1.04%),1.74%,1.30%,1.01%,0.43%,0.75%
23-Jan-2024,(2.84%),(2.94%),(2.15%),2.99%,(1.03%),(1.58%),(1.77%)
24-Jan-2024,1.15%,2.00%,(0.43%),(2.90%),2.02%,0.57%,1.01%
25-Jan-2024,0.68%,(1.44%),(0.82%),1.08%,(0.38%),(0.25%),(0.47%)
29-Jan-2024,7.02%,1.38%,(0.24%),0.64%,(0.75%),2.03%,1.80%
30-Jan-2024,(2.79%),(0.71%),(0.01%),0.05%,(0.31%),(0.92%),(0.99%)
31-Jan-2024,1.35%,1.26%,0.41%,1.11%,0.57%,0.99%,0.95%
01-Feb-2024,0.00%,0.26%,1.00%,(0.29%),(0.23%),0.19%,(0.13%)
02-Feb-2024,2.18%,(1.38%),2.91%,(0.11%),2.19%,1.09%,0.72%
05-Feb-2024,(1.28%),(0.09%),0.18%,(0.05%),(0.36%),(0.37%),(0.38%)
06-Feb-2024,(0.78%),(0.05%),4.09%,0.28%,2.50%,1.03%,0.72%
07-Feb-2024,1.01%,(0.98%),(1.27%),(0.41%),(2.06%),(0.62%),0.01%
08-Feb-2024,0.55%,(1.88%),1.24%,(3.21%),(0.10%),(0.58%),(0.97%)
09-Feb-2024,0.73%,0.04%,(0.01%),2.16%,(1.34%),0.31%,0.30%
12-Feb-2024,(0.58%),(0.97%),(0.31%),(1.44%),0.64%,(0.57%),(0.76%)
13-Feb-2024,0.88%,0.32%,0.70%,2.38%,0.26%,0.84%,0.59%
14-Feb-2024,1.11%,(0.75%),(1.19%),0.28%,(1.09%),(0.27%),0.45%
15-Feb-2024,(0.73%),2.17%,0.08%,(0.59%),0.61%,0.38%,0.32%
16-Feb-2024,(0.68%),0.41%,0.61%,0.65%,1.51%,0.38%,0.59%
19-Feb-2024,0.92%,(0.20%),(0.59%),2.00%,(0.11%),0.35%,0.37%
20-Feb-2024,(0.20%),2.63%,(1.78%),0.48%,(0.85%),0.19%,0.34%
21-Feb-2024,(0.23%),(1.04%),(0.97%),0.31%,(1.76%),(0.73%),(0.64%)
22-Feb-2024,0.96%,(1.36%),2.40%,1.02%,1.56%,0.76%,0.74%
23-Feb-2024,0.80%,0.07%,(0.86%),(0.13%),(0.27%),(0.01%),(0.02%)
26-Feb-2024,(0.42%),0.12%,(1.26%),(0.67%),(1.00%),(0.58%),(0.41%)
27-Feb-2024,(0.11%),(0.15%),2.58%,0.57%,0.21%,0.57%,0.34%
28-Feb-2024,(2.02%),(0.76%),0.35%,(1.32%),0.46%,(0.75%),(1.11%)
29-Feb-2024,0.36%,(0.43%),(0.58%),0.57%,0.16%,(0.02%),0.14%
01-Mar-2024,2.14%,1.95%,(0.02%),3.30%,(1.15%),1.34%,1.62%
04-Mar-2024,1.02%,0.14%,(0.33%),0.50%,(1.06%),0.14%,0.30%
05-Mar-2024,(0.48%),0.57%,(1.68%),(0.39%),(1.88%),(0.65%),(0.22%)
06-Mar-2024,0.19%,0.12%,1.30%,0.83%,0.69%,0.57%,0.53%
07-Mar-2024,(1.60%),0.24%,1.09%,(0.83%),(0.07%),(0.26%),0.09%
11-Mar-2024,(0.83%),(1.27%),0.33%,(0.85%),(0.98%),(0.73%),(0.72%)
12-Mar-2024,0.60%,2.22%,1.70%,(0.17%),0.77%,1.14%,0.01%
13-Mar-2024,(2.93%),0.06%,(1.03%),0.66%,(0.10%),(0.84%),(1.51%)
14-Mar-2024,(0.05%),(0.34%),1.41%,(0.03%),2.60%,0.57%,0.68%
15-Mar-2024,(0.93%),(0.19%),0.28%,(0.30%),(1.17%),(0.44%),(0.56%)
18-Mar-2024,1.50%,(0.45%),(1.58%),0.08%,(1.92%),(0.33%),0.15%
19-Mar-2024,(0.99%),0.23%,(4.22%),0.25%,(2.57%),(1.38%),(1.08%)
20-Mar-2024,1.30%,(1.26%),(0.16%),0.05%,(0.42%),(0.08%),0.10%
21-Mar-2024,0.50%,1.03%,0.05%,(0.25%),(0.02%),0.35%,0.79%
22-Mar-2024,0.28%,(0.20%),(1.56%),0.79%,(2.95%),(0.62%),0.39%
26-Mar-2024,(0.92%),(1.21%),(0.85%),(0.61%),(1.07%),(0.96%),(0.42%)
27-Mar-2024,3.56%,1.07%,(0.94%),0.00%,(0.59%),0.88%,0.54%
28-Mar-2024,(0.47%),0.50%,0.92%,0.88%,0.96%,0.47%,0.92%
01-Apr-2024,(0.07%),1.56%,1.04%,0.58%,(0.17%),0.64%,0.61%
02-Apr-2024,0.15%,0.66%,(0.84%),(1.68%),(0.84%),(0.35%),(0.04%)
03-Apr-2024,(1.03%),0.15%,1.64%,(0.37%),(0.15%),0.03%,(0.08%)
04-Apr-2024,(0.59%),3.06%,1.42%,0.15%,0.41%,0.98%,0.36%
05-Apr-2024,(0.19%),1.44%,(0.60%),0.42%,(0.51%),0.18%,(0.00%)
08-Apr-2024,1.77%,(0.19%),(0.17%),0.35%,(0.16%),0.39%,0.68%
09-Apr-2024,(1.50%),0.13%,(0.65%),1.83%,1.23%,(0.02%),(0.10%)
10-Apr-2024,1.09%,(0.79%),0.97%,0.21%,0.80%,0.42%,0.49%
12-Apr-2024,(0.84%),(1.13%),0.42%,(0.45%),(1.46%),(0.70%),(1.03%)
15-Apr-2024,(0.16%),(1.60%),(1.50%),(2.36%),(1.12%),(1.26%),(1.10%)
16-Apr-2024,0.06%,0.97%,(1.74%),(1.05%),(3.66%),(0.79%),(0.56%)
18-Apr-2024,(0.10%),(0.96%),(0.28%),(1.09%),0.34%,(0.43%),(0.69%)
19-Apr-2024,0.40%,2.45%,(0.93%),1.12%,(0.56%),0.61%,0.69%
22-Apr-2024,0.66%,(1.25%),1.00%,1.82%,1.52%,0.56%,0.86%
23-Apr-2024,(1.39%),(0.30%),0.26%,0.33%,0.67%,(0.22%),0.14%
24-Apr-2024,(0.63%),0.27%,(1.13%),0.60%,(0.81%),(0.35%),0.15%
25-Apr-2024,0.68%,(0.06%),0.55%,1.55%,0.54%,0.58%,0.75%
26-Apr-2024,(0.51%),(0.06%),(0.80%),(0.53%),(0.57%),(0.47%),(0.67%)
29-Apr-2024,0.86%,1.30%,1.28%,4.72%,0.31%,1.55%,1.00%
30-Apr-2024,0.13%,(0.61%),(1.28%),(0.84%),(0.99%),(0.65%),(0.17%)
02-May-2024,(0.03%),0.80%,1.12%,(0.95%),(0.43%),0.21%,0.19%
03-May-2024,(2.22%),(0.83%),(0.52%),0.23%,0.13%,(0.81%),(0.76%)
06-May-2024,(1.01%),0.20%,2.02%,0.37%,0.68%,0.36%,(0.15%)
07-May-2024,(1.27%),(1.08%),1.48%,(1.26%),1.06%,(0.32%),(0.62%)
08-May-2024,1.22%,(1.56%),(0.05%),(0.79%),(0.95%),(0.36%),-
09-May-2024,(1.72%),(2.37%),(0.42%),(0.65%),0.86%,(1.08%),(1.55%)
10-May-2024,0.95%,0.69%,(1.67%),0.12%,(1.02%),(0.06%),0.44%
13-May-2024,(0.34%),1.21%,1.38%,0.98%,(0.10%),0.63%,0.22%
14-May-2024,1.24%,0.39%,(1.18%),(0.66%),0.09%,0.09%,0.51%
15-May-2024,(0.27%),(1.54%),(0.53%),0.34%,(0.33%),(0.56%),(0.08%)
16-May-2024,0.64%,1.51%,1.26%,0.60%,2.35%,1.23%,0.92%
17-May-2024,0.73%,0.26%,(1.71%),(0.05%),(0.62%),(0.20%),0.28%
21-May-2024,0.03%,(0.36%),(0.36%),(0.84%),(0.70%),(0.39%),0.28%
22-May-2024,1.71%,0.03%,0.31%,(0.88%),1.44%,0.58%,0.31%
23-May-2024,1.74%,2.29%,1.60%,2.11%,1.21%,1.83%,1.64%
24-May-2024,(0.39%),1.65%,(1.13%),(0.22%),(0.50%),(0.02%),(0.05%)
27-May-2024,(0.95%),0.69%,(0.06%),(0.19%),0.43%,(0.04%),(0.11%)
28-May-2024,(0.69%),0.18%,(0.19%),(0.25%),(0.29%),(0.24%),(0.19%)
29-May-2024,(1.06%),(1.45%),(0.94%),(2.21%),(1.10%),(1.31%),(0.80%)
30-May-2024,(1.11%),0.43%,(1.78%),1.06%,(1.62%),(0.61%),(0.95%)
31-May-2024,0.39%,1.10%,(1.74%),0.66%,0.53%,0.20%,0.19%
03-Jun-2024,5.59%,2.65%,0.87%,3.47%,(0.07%),2.74%,3.25%
04-Jun-2024,(7.49%),(5.66%),0.33%,(7.63%),(0.87%),(4.50%),(5.93%)
05-Jun-2024,1.68%,4.63%,0.85%,3.47%,2.62%,2.66%,3.36%
06-Jun-2024,0.76%,0.51%,2.24%,0.16%,2.95%,1.23%,0.89%
07-Jun-2024,2.68%,0.88%,1.66%,1.02%,4.17%,2.00%,2.05%
10-Jun-2024,0.10%,(0.77%),(0.91%),0.19%,(2.21%),(0.65%),(0.13%)
11-Jun-2024,(1.00%),0.22%,(0.17%),(0.50%),(0.27%),(0.34%),0.02%
12-Jun-2024,0.46%,0.60%,(0.53%),0.12%,(0.71%),0.07%,0.25%
13-Jun-2024,0.13%,0.42%,1.21%,(1.09%),0.59%,0.31%,0.33%
14-Jun-2024,0.84%,1.02%,(1.19%),(0.15%),(0.34%),0.15%,0.29%
18-Jun-2024,0.24%,0.68%,(0.44%),1.56%,0.62%,0.47%,0.39%
19-Jun-2024,(1.51%),3.11%,(0.35%),1.92%,0.88%,0.75%,(0.18%)
20-Jun-2024,1.03%,0.69%,(0.38%),1.08%,0.27%,0.56%,0.22%
21-Jun-2024,(1.32%),(0.22%),0.62%,0.16%,1.14%,(0.07%),(0.28%)
24-Jun-2024,(0.88%),0.40%,0.16%,0.99%,(0.36%),0.01%,0.16%
25-Jun-2024,0.88%,2.33%,0.57%,2.38%,0.97%,1.42%,0.78%
26-Jun-2024,4.12%,(0.58%),0.45%,1.67%,(0.08%),1.22%,0.62%
27-Jun-2024,1.09%,(0.31%),2.03%,0.16%,2.12%,0.94%,0.74%
28-Jun-2024,2.28%,(0.73%),(0.76%),(1.66%),(0.42%),(0.08%),(0.14%)
01-Jul-2024,(0.34%),1.27%,1.90%,1.02%,1.54%,1.00%,0.55%
02-Jul-2024,0.32%,1.49%,0.99%,(1.75%),1.90%,0.67%,(0.07%)
03-Jul-2024,(0.81%),2.20%,(1.30%),0.92%,0.39%,0.28%,0.67%
04-Jul-2024,0.10%,(2.35%),1.40%,2.61%,1.43%,0.33%,0.06%
05-Jul-2024,2.23%,(4.58%),(0.23%),0.03%,(0.19%),(0.66%),0.09%
08-Jul-2024,0.77%,(0.77%),(0.46%),0.13%,0.86%,0.06%,(0.01%)
09-Jul-2024,(0.66%),0.07%,(0.19%),1.07%,(0.27%),(0.07%),0.46%
10-Jul-2024,(0.38%),(0.64%),(1.92%),(0.40%),(0.54%),(0.78%),(0.45%)
11-Jul-2024,(0.23%),(0.26%),0.37%,(0.38%),0.27%,(0.06%),(0.03%)
12-Jul-2024,1.02%,0.05%,6.63%,(0.45%),3.57%,2.06%,0.77%
15-Jul-2024,0.03%,(0.04%),(0.35%),(0.24%),(0.27%),(0.15%),0.35%
16-Jul-2024,(1.31%),(0.14%),0.22%,0.81%,1.11%,(0.03%),0.11%
18-Jul-2024,0.66%,(0.31%),3.28%,0.84%,1.85%,1.15%,0.76%
19-Jul-2024,(1.99%),(0.46%),(0.07%),(0.13%),1.99%,(0.35%),(1.09%)
22-Jul-2024,(3.50%),2.19%,(0.35%),(0.60%),1.00%,(0.34%),(0.09%)
23-Jul-2024,(0.85%),(1.47%),0.35%,(1.16%),1.44%,(0.47%),(0.12%)
24-Jul-2024,0.52%,(0.89%),0.09%,(0.31%),(0.16%),(0.14%),(0.27%)
25-Jul-2024,(0.22%),0.78%,0.38%,(2.05%),(0.50%),(0.17%),(0.03%)
26-Jul-2024,1.11%,0.10%,1.51%,0.78%,2.96%,1.17%,1.76%
29-Jul-2024,0.73%,(0.81%),(0.15%),0.46%,(0.42%),(0.04%),0.01%
30-Jul-2024,(0.46%),0.65%,(0.36%),(0.27%),0.32%,(0.01%),0.09%
31-Jul-2024,(0.51%),0.01%,0.46%,0.45%,(0.47%),(0.04%),0.38%
