Historical Adjusted Price Data,,,,,,
"Actual historical data, 02-Jan-2023 to 31-Dec-2025. Stocks: Yahoo Finance/yfinance-derived adjusted prices. NIFTY 50: ^NSEI historical index close (for an index, Close is the adjusted-price series).",,,,,,
,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,NIFTY 50
07-Feb-2023,"₹1,047.79",₹783.00,"₹3,150.88",₹832.15,"₹1,402.57","₹17,721.50"
08-Feb-2023,"₹1,068.72",₹782.90,"₹3,194.02",₹838.34,"₹1,427.79","₹17,871.70"
09-Feb-2023,"₹1,070.58",₹781.27,"₹3,212.85",₹840.00,"₹1,451.58","₹17,893.45"
10-Feb-2023,"₹1,061.76",₹784.37,"₹3,209.86",₹833.22,"₹1,444.00","₹17,856.50"
13-Feb-2023,"₹1,055.72",₹784.96,"₹3,159.81",₹830.10,"₹1,407.10","₹17,770.90"
14-Feb-2023,"₹1,080.60",₹792.23,"₹3,175.88",₹844.39,"₹1,430.26","₹17,929.85"
15-Feb-2023,"₹1,105.07",₹790.62,"₹3,194.52",₹849.76,"₹1,433.67","₹18,015.85"
16-Feb-2023,"₹1,104.20",₹787.75,"₹3,228.46",₹848.44,"₹1,437.94","₹18,035.85"
17-Feb-2023,"₹1,108.82",₹783.80,"₹3,176.83",₹841.81,"₹1,421.78","₹17,944.20"
20-Feb-2023,"₹1,097.09",₹776.44,"₹3,164.26",₹831.51,"₹1,429.55","₹17,844.60"
21-Feb-2023,"₹1,106.04",₹779.35,"₹3,131.32",₹833.56,"₹1,417.92","₹17,826.70"
22-Feb-2023,"₹1,080.96",₹764.06,"₹3,086.45",₹818.97,"₹1,402.03","₹17,554.30"
23-Feb-2023,"₹1,075.78",₹758.88,"₹3,097.57",₹819.46,"₹1,392.07","₹17,511.25"
24-Feb-2023,"₹1,083.14",₹752.11,"₹3,085.46",₹819.41,"₹1,392.02","₹17,465.80"
27-Feb-2023,"₹1,075.94",₹753.98,"₹3,023.21",₹835.71,"₹1,354.90","₹17,392.70"
28-Feb-2023,"₹1,055.36",₹757.15,"₹3,005.97",₹834.20,"₹1,335.38","₹17,303.95"
01-Mar-2023,"₹1,065.06",₹756.42,"₹3,072.07",₹835.61,"₹1,343.01","₹17,450.90"
02-Mar-2023,"₹1,056.95",₹749.98,"₹3,013.77",₹833.37,"₹1,321.55","₹17,321.90"
03-Mar-2023,"₹1,083.92",₹764.87,"₹3,032.56",₹847.57,"₹1,327.97","₹17,594.35"
06-Mar-2023,"₹1,094.50",₹770.26,"₹3,059.50",₹846.79,"₹1,353.24","₹17,711.45"
